Name,Slug,Homepage,Short Description,Price Text,Pricing,Categories,Verified,Favorite Count,Updated At,text
Leonardo.AI,leonardoai,https://leonardo.ai/,Leverage generative AI with a unique suite of tools to convey your ideas to the world.,,Freemium,"image generator, image to image",True,1,2025-04-11,"Leonardo.AI — Leverage generative AI with a unique suite of tools to convey your ideas to the world. | image generator, image to image | Freemium | https://leonardo.ai/"
Quicklines,quicklines,https://www.quicklines.ai/,Automate cold emails: upload CSV and get personalized ice breakers,59,Paid,"sales, email assistant",False,0,2023-07-28,"Quicklines — Automate cold emails: upload CSV and get personalized ice breakers | sales, email assistant | Paid | https://www.quicklines.ai/"
fireflies.ai,fireflies-ai,https://fireflies.ai/,"AI assistant to record, transcribe, and search your meetings.",10/mo,Freemium,"transcriber, productivity, search engine",False,0,2023-07-28,"fireflies.ai — AI assistant to record, transcribe, and search your meetings. | transcriber, productivity, search engine | Freemium | https://fireflies.ai/"
StoriesForKids,storiesforkids,https://www.storiesforkids.ai/,Create stories & illustrations from real-life situations on your phone.,9,Paid,story teller,False,0,2023-07-28,StoriesForKids — Create stories & illustrations from real-life situations on your phone. | story teller | Paid | https://www.storiesforkids.ai/
CandyIcons,candyicons,https://www.candyicons.com/,"Get full copyright ownership of unique, high-quality app icons",3,Paid,design assistant,False,0,2023-07-28,"CandyIcons — Get full copyright ownership of unique, high-quality app icons | design assistant | Paid | https://www.candyicons.com/"
DoNotPay,donotpay,https://donotpay.com/,Robot lawyer helps fight corporations and beat bureaucracy,,Paid,legal assistant,False,0,2023-07-28,DoNotPay — Robot lawyer helps fight corporations and beat bureaucracy | legal assistant | Paid | https://donotpay.com/
Alfred,alfred,https://www.alfredsearch.com/,Alfred is an AI-powered search & content creation app,,Freemium,productivity,False,0,2023-07-28,Alfred — Alfred is an AI-powered search & content creation app | productivity | Freemium | https://www.alfredsearch.com/
Brancher AI,brancher-ai,https://www.brancher.ai/,Create & monetize AI-powered apps by connecting AI models,8/mo,Freemium,low-code/no-code,False,0,2025-06-06,Brancher AI — Create & monetize AI-powered apps by connecting AI models | low-code/no-code | Freemium | https://www.brancher.ai/
Detect GPT,detect-gpt,https://chrome.google.com/webstore/detail/detect-gpt/oadkgbgppkhoaaoepjbcnjejmkknaobg/related,Detect if webpage content is AI-generated,,Free,"general writing, SEO",False,0,2023-07-28,"Detect GPT — Detect if webpage content is AI-generated | general writing, SEO | Free | https://chrome.google.com/webstore/detail/detect-gpt/oadkgbgppkhoaaoepjbcnjejmkknaobg/related"
MarbleFlows,marbleflows,https://app.marbleflows.com/ai-generator,AI-generated forms to convert more leads.,,Free,sales,False,0,2023-07-28,MarbleFlows — AI-generated forms to convert more leads. | sales | Free | https://app.marbleflows.com/ai-generator
Penelope AI,penelope-ai,https://penelope-ai.vercel.app/,"Speed up writing with paraphrasing, summarizing and story generation",,Free Trial,"summarizer, general writing, paraphraser",False,0,2023-07-28,"Penelope AI — Speed up writing with paraphrasing, summarizing and story generation | summarizer, general writing, paraphraser | Free Trial | https://penelope-ai.vercel.app/"
SwagAI,swagai,https://www.useslingshot.com/swagai/,SwagAI helps you find creative company swag with AI algorithms.,,Free,human resources,False,0,2023-07-28,SwagAI — SwagAI helps you find creative company swag with AI algorithms. | human resources | Free | https://www.useslingshot.com/swagai/
Unreal Meal,unreal-meal,https://unrealmeal.ai/,AI-generated images of non-existent meals for recipes & creative projects.,,Free,fun tools,False,0,2023-07-28,Unreal Meal — AI-generated images of non-existent meals for recipes & creative projects. | fun tools | Free | https://unrealmeal.ai/
Jenni,jenni,https://jenni.ai/,AI-powered writing assistant to supercharge your writing.,12/mo,Free Trial,SEO,False,0,2023-07-28,Jenni — AI-powered writing assistant to supercharge your writing. | SEO | Free Trial | https://jenni.ai/
Albus,albus,https://www.springworks.in/albus/,AI assistant Albus helps create personalized content & designs in Slack.,19.99/mo,Free Trial,productivity,False,0,2023-07-28,Albus — AI assistant Albus helps create personalized content & designs in Slack. | productivity | Free Trial | https://www.springworks.in/albus/
Vidyo,vidyo,https://vidyo.ai/,"Create short clips from long videos with AI, save 90% time and effort.",29.99,Free Trial,personalized videos,False,0,2023-07-28,"Vidyo — Create short clips from long videos with AI, save 90% time and effort. | personalized videos | Free Trial | https://vidyo.ai/"
ChatGPT Chrome Extension,chatgpt-chrome-extension,https://chrome.google.com/webstore/detail/chatgpt-for-search-engine/feeonheemodpkdckaljcjogdncpiiban,Display ChatGPT response alongside search results.,,Free,"productivity, search engine",False,0,2023-07-28,"ChatGPT Chrome Extension — Display ChatGPT response alongside search results. | productivity, search engine | Free | https://chrome.google.com/webstore/detail/chatgpt-for-search-engine/feeonheemodpkdckaljcjogdncpiiban"
Once Upon A Bot,once-upon-a-bot,https://onceuponabot.com/,AI writes stories from scratch with your ideas: OnceUponABot.,6.67/mo,Paid,story teller,False,0,2023-07-28,Once Upon A Bot — AI writes stories from scratch with your ideas: OnceUponABot. | story teller | Paid | https://onceuponabot.com/
Ad Auris,ad-auris,https://play.ad-auris.com/,"Listen to articles on the go with Spotify, Apple Podcasts, and Google Podcasts.",,Free Trial,text to speech,False,0,2023-07-28,"Ad Auris — Listen to articles on the go with Spotify, Apple Podcasts, and Google Podcasts. | text to speech | Free Trial | https://play.ad-auris.com/"
Astria,astria,https://www.astria.ai/,"AI tools for enhanced, customizable imaging services.",1.5/fine-tune,Contact for Pricing,"video generator, image generators",False,0,2025-04-17,"Astria — AI tools for enhanced, customizable imaging services. | video generator, image generators | Contact for Pricing | https://www.astria.ai/"
Reface AI,reface-ai,https://hey.reface.ai/,"Face-swap in GIFs & videos, creating artworks of yourself in various styles.",,Freemium,"fun tools, avatars",False,0,2023-07-28,"Reface AI — Face-swap in GIFs & videos, creating artworks of yourself in various styles. | fun tools, avatars | Freemium | https://hey.reface.ai/"
Kailua Labs,kailua-labs,https://app.kailualabs.com/image-search,"Search images, video, audio & more with AI using our API.",,Freemium,search engine,False,0,2023-07-28,"Kailua Labs — Search images, video, audio & more with AI using our API. | search engine | Freemium | https://app.kailualabs.com/image-search"
AnyPod,anypod,https://www.anypod.ai/,AI search engine for creators,,Free,"transcriber, search engine, fun tools",False,0,2023-07-28,"AnyPod — AI search engine for creators | transcriber, search engine, fun tools | Free | https://www.anypod.ai/"
Promptist,promptist,https://huggingface.co/spaces/microsoft/Promptist,Optimizes user input for Stable Diffusion v1-4,,Free,prompts,False,0,2023-07-28,Promptist — Optimizes user input for Stable Diffusion v1-4 | prompts | Free | https://huggingface.co/spaces/microsoft/Promptist
Merlin,merlin,https://merlin.foyer.work/,Merlin gives you AI-powered writing & editing on any website.,,Free,productivity,False,0,2023-07-28,Merlin — Merlin gives you AI-powered writing & editing on any website. | productivity | Free | https://merlin.foyer.work/
Whisper AI,whisper-ai,https://whisper.ai/,AI-powered hearing aid adjusts to different hearing situations,69/mo,Free Trial,healthcare,False,0,2023-07-28,Whisper AI — AI-powered hearing aid adjusts to different hearing situations | healthcare | Free Trial | https://whisper.ai/
Oracle,oracle,https://askoracle.app/,"Get instant answers from Oracle on Slack, Docs, and Notion.",,Contact for Pricing,productivity,False,0,2023-07-28,"Oracle — Get instant answers from Oracle on Slack, Docs, and Notion. | productivity | Contact for Pricing | https://askoracle.app/"
Mentioned,mentioned,https://www.mentioned.ai/,Automated influencer outreach & link building,49/mo.,Paid,"email assistant, SEO",False,0,2023-07-28,"Mentioned — Automated influencer outreach & link building | email assistant, SEO | Paid | https://www.mentioned.ai/"
Speechify,speechify,https://speechify.com/,"TTS for Chrome, iOS, Android, & Mac with celebrity voices.",139/yr,Freemium,text to speech,False,0,2023-07-28,"Speechify — TTS for Chrome, iOS, Android, & Mac with celebrity voices. | text to speech | Freemium | https://speechify.com/"
VisualHound,visualhound,https://visualhound.com/,Prototype fashion designs with AI to visualize product designs before production.,25/mo,Paid,fashion,False,0,2023-07-28,VisualHound — Prototype fashion designs with AI to visualize product designs before production. | fashion | Paid | https://visualhound.com/
Green Screen AI,green-screen-ai,https://greenscreenai.com/,Change background of pics with AI,,Freemium,image editing,False,0,2023-07-28,Green Screen AI — Change background of pics with AI | image editing | Freemium | https://greenscreenai.com/
SheetGod,sheetgod,https://www.boloforms.com/sheetgod/,Create complex Excel formulas and automate daily manual work.,29/mo,Free Trial,spreadsheets,False,0,2023-07-28,SheetGod — Create complex Excel formulas and automate daily manual work. | spreadsheets | Free Trial | https://www.boloforms.com/sheetgod/
One More AI,one-more-ai,https://onemoreai.com/,AI-generated stock images: thousands of pics!,,Free,search engine,False,0,2023-07-28,One More AI — AI-generated stock images: thousands of pics! | search engine | Free | https://onemoreai.com/
Elektrif AI,elektrif-ai,https://www.elektrif.ai/,Generate personalized convos & rephrase messages to be more engaging,,Free,,False,0,2023-07-28,Elektrif AI — Generate personalized convos & rephrase messages to be more engaging |  | Free | https://www.elektrif.ai/
Shakespeare,shakespeare,https://shakespeare.ai/lp/start-for-free/,AI copywriting software to create any type of copy needed.,,Freemium,copywriting,False,0,2023-07-28,Shakespeare — AI copywriting software to create any type of copy needed. | copywriting | Freemium | https://shakespeare.ai/lp/start-for-free/
Aikeez,aikeez,https://www.aikeez.com/,Create Stuning Contents at Scale,149,Paid,startup tools,False,0,2023-07-28,Aikeez — Create Stuning Contents at Scale | startup tools | Paid | https://www.aikeez.com/
NewsNotFound,newsnotfound,https://newsnotfound.com/,AI-powered news website that aims to provide unbiased and agenda-free news and information from around the world.,,Free,resources,False,0,2023-07-28,NewsNotFound — AI-powered news website that aims to provide unbiased and agenda-free news and information from around the world. | resources | Free | https://newsnotfound.com/
Dreamcard.ai,dreamcard-ai,https://dreamcard.ai/,Create Personalized Postcards with Your Photos,10.99,Paid,image generator,False,0,2023-07-28,Dreamcard.ai — Create Personalized Postcards with Your Photos | image generator | Paid | https://dreamcard.ai/
Pragma,pragma,https://www.pragma.ai/,Your Company's Knowledge Assistant,19.99/mo,Free Trial,startup tools,False,0,2023-07-28,Pragma — Your Company's Knowledge Assistant | startup tools | Free Trial | https://www.pragma.ai/
Sreda,sreda,https://sreda.ai/,Create an AI Powered Company Database,5/mo,Paid,human resources,False,0,2023-07-28,Sreda — Create an AI Powered Company Database | human resources | Paid | https://sreda.ai/
TDLR Newspaper,tdlr-newspaper,https://tldrnewspaper.com/,AI-powered news aggregator that provides concise summaries of breaking news,,Free,summarizer,False,0,2023-07-28,TDLR Newspaper — AI-powered news aggregator that provides concise summaries of breaking news | summarizer | Free | https://tldrnewspaper.com/
Wonderway Coach,wonderway-coach,https://www.wonderway.io/wonderway-coach-ai,COACH uses AI to give sales reps expert feedback on every sales call - just like a manager.,,Contact for Pricing,sales,False,0,2023-07-28,Wonderway Coach — COACH uses AI to give sales reps expert feedback on every sales call - just like a manager. | sales | Contact for Pricing | https://www.wonderway.io/wonderway-coach-ai
Wing Girl,wing-girl,https://www.winggirlstudio.com/,Revolutionize Your Dating Profile with AI Tinder Photos.,14.99,Paid,avatars,False,0,2023-07-28,Wing Girl — Revolutionize Your Dating Profile with AI Tinder Photos. | avatars | Paid | https://www.winggirlstudio.com/
AppLogoCreater,applogocreater,https://applogocreator.com/,Your personal logo designer powered by AI,9,Paid,logo generator,False,0,2023-07-28,AppLogoCreater — Your personal logo designer powered by AI | logo generator | Paid | https://applogocreator.com/
Optimist,optimist,https://optimist.varied.ai/,Build reliable prompts,,Free,prompts,False,0,2023-07-28,Optimist — Build reliable prompts | prompts | Free | https://optimist.varied.ai/
AI Transcription by Riverside,ai-transcription-by-riverside,https://riverside.fm/transcription,Video and audio file transcription.,,Free,transcriber,False,0,2023-07-28,AI Transcription by Riverside — Video and audio file transcription. | transcriber | Free | https://riverside.fm/transcription
Is It Made Up,is-it-made-up,https://isitmadeup.com/,Name authenticity verification.,,Free,fun tools,False,0,2023-07-28,Is It Made Up — Name authenticity verification. | fun tools | Free | https://isitmadeup.com/
Marcus Aurelius AI,marcus-aurelius-ai,https://marcusaurelius.ai/,Stoic philosophy chatbot mentorship.,2/mo,Freemium,life assistant,False,0,2023-07-28,Marcus Aurelius AI — Stoic philosophy chatbot mentorship. | life assistant | Freemium | https://marcusaurelius.ai/
SummrAIz,summraiz,https://summraiz.fyi/,The ultimate newsletter summarizer! Get concise 250-word summaries of your favourite newsletters twice a week in your inbox. Stay informed with key details and access original content with links.,,Free,"summarizer, email assistant",False,0,2023-07-28,"SummrAIz — The ultimate newsletter summarizer! Get concise 250-word summaries of your favourite newsletters twice a week in your inbox. Stay informed with key details and access original content with links. | summarizer, email assistant | Free | https://summraiz.fyi/"
Bottell,bottell,https://bottell.ai/,Your AI assistant for all things parenting.,2/mo,Freemium,life assistant,False,0,2023-07-28,Bottell — Your AI assistant for all things parenting. | life assistant | Freemium | https://bottell.ai/
RadioNewsAI,radionewsai,https://radionewsai.com/,AI News Anchor Generation For Your Local Radio Station,49/mo,Paid,"text to speech, audio editing",False,0,2023-07-28,"RadioNewsAI — AI News Anchor Generation For Your Local Radio Station | text to speech, audio editing | Paid | https://radionewsai.com/"
DraGan,dragan,https://vcai.mpi-inf.mpg.de/projects/DragGAN/,Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold,,Free,experiments,False,0,2023-07-28,DraGan — Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold | experiments | Free | https://vcai.mpi-inf.mpg.de/projects/DragGAN/
Homeworkify,homeworkify,https://play.google.com/store/apps/details?id=com.homeworkify.aichat,Ultimate homework assistant for students of all ages,,Free,education assistant,False,1,2023-07-28,Homeworkify — Ultimate homework assistant for students of all ages | education assistant | Free | https://play.google.com/store/apps/details?id=com.homeworkify.aichat
Gold Retriever,gold-retriever,https://jina.ai/news/gold-retriever-let-chatgpt-talk-to-your-data/,Innovative open-source tool designed to enhance the capabilities of ChatGPT,100/mo,Freemium,memory,False,0,2023-07-28,Gold Retriever — Innovative open-source tool designed to enhance the capabilities of ChatGPT | memory | Freemium | https://jina.ai/news/gold-retriever-let-chatgpt-talk-to-your-data/
MrScrapper,mrscrapper,https://mrscraper.com/ai,Advanced web scraping tool powered by AI,19/mo,Freemium,developer tools,False,0,2023-07-28,MrScrapper — Advanced web scraping tool powered by AI | developer tools | Freemium | https://mrscraper.com/ai
Besthotel,besthotel,https://www.besthotel.ai/,Innovative hotel booking tool that utilizes artificial intelligence to streamline the hotel search and booking process.,,Free,,False,0,2023-07-28,Besthotel — Innovative hotel booking tool that utilizes artificial intelligence to streamline the hotel search and booking process. |  | Free | https://www.besthotel.ai/
PageWise AI,pagewise-ai,https://pagewise.ai/,Instant Insight into Your Confluence Data,69/mo,Paid,startup tools,False,0,2023-07-28,PageWise AI — Instant Insight into Your Confluence Data | startup tools | Paid | https://pagewise.ai/
Reconcile,reconcile,https://ai.getreconcile.com/,Reconcile is an innovative AI-powered tax filing solution that aims to simplify the complex and time-consuming process of tax preparation.,,Free,finance,False,0,2023-07-28,Reconcile — Reconcile is an innovative AI-powered tax filing solution that aims to simplify the complex and time-consuming process of tax preparation. | finance | Free | https://ai.getreconcile.com/
TimeGPT,timegpt,https://www.timegpt.pro/,True automated  AI Time Tracking,,Free,productivity,False,0,2023-07-28,TimeGPT — True automated  AI Time Tracking | productivity | Free | https://www.timegpt.pro/
Shot Rate,shot-rate,https://shotrate.com/,Sell more with beautiful images,10,Paid,"e-commerce, image generator",False,0,2023-07-28,"Shot Rate — Sell more with beautiful images | e-commerce, image generator | Paid | https://shotrate.com/"
Charachter Lingo,charachter-lingo,https://characterlingo.com/,Transform your writing into the captivating voice of your favorite character.,,Free,text to speech,False,1,2023-07-28,Charachter Lingo — Transform your writing into the captivating voice of your favorite character. | text to speech | Free | https://characterlingo.com/
Colossis.io,colossis-io,https://colossis.io/,Elevate your travel marketing game with our incredible AI-enhanced travel imagery!,299.99/mo,Paid,"design assistant, real estate",False,0,2023-07-28,"Colossis.io — Elevate your travel marketing game with our incredible AI-enhanced travel imagery! | design assistant, real estate | Paid | https://colossis.io/"
Lettergram,lettergram,https://lettergram.net/,Tailored pen pal communication offline.,,Free,general writing,False,0,2023-07-28,Lettergram — Tailored pen pal communication offline. | general writing | Free | https://lettergram.net/
Focia,focia,https://www.focia.io/,Turn your ideas into Content,20/mo,Freemium,social media assistant,False,0,2023-07-28,Focia — Turn your ideas into Content | social media assistant | Freemium | https://www.focia.io/
HeardThat,heardthat,https://heardthat.ai/,"HeardThat gives you more speech, less noise.",9.99/mo,Freemium,life assistant,False,0,2023-07-28,"HeardThat — HeardThat gives you more speech, less noise. | life assistant | Freemium | https://heardthat.ai/"
LightGPT,lightgpt,https://huggingface.co/amazon/LightGPT,"Designed to generate text in response to prompts with specific instructions, following a standardized format.",9/mo,Freemium,prompts,False,0,2023-07-28,"LightGPT — Designed to generate text in response to prompts with specific instructions, following a standardized format. | prompts | Freemium | https://huggingface.co/amazon/LightGPT"
TodoGPT,todogpt,https://gptnotes.vercel.app/,Advanced task management application that leverages artificial intelligence technology,,Free,productivity,False,1,2023-07-28,TodoGPT — Advanced task management application that leverages artificial intelligence technology | productivity | Free | https://gptnotes.vercel.app/
WriteMarvel,writemarvel,https://www.writemarvel.com/,Generate SEO-Friendly High Quality Content with AI in Minutes.,36/mo,Paid,SEO,False,0,2023-07-28,WriteMarvel — Generate SEO-Friendly High Quality Content with AI in Minutes. | SEO | Paid | https://www.writemarvel.com/
Boxy,boxy,https://codesandbox.io/blog/meet-boxy-ai-coding-assistant,"It is an AI coding assistant in CodeSandbox that helps with code refactoring, contextual code generation, and automatic commit messages, enhancing productivity and learning for developers.",12/mo,Freemium,code assistant,False,0,2025-04-25,"Boxy — It is an AI coding assistant in CodeSandbox that helps with code refactoring, contextual code generation, and automatic commit messages, enhancing productivity and learning for developers. | code assistant | Freemium | https://codesandbox.io/blog/meet-boxy-ai-coding-assistant"
Voyp,voyp,https://voyp.app/,Your AI Call Assistant,1.99/mo,Freemium,life assistant,False,0,2023-07-28,Voyp — Your AI Call Assistant | life assistant | Freemium | https://voyp.app/
EpicMusicQuiz,epicmusicquiz,https://epicmusicquiz.com/,Music video quiz creation and playing.,,Free,"fun tools, music",False,0,2023-07-28,"EpicMusicQuiz — Music video quiz creation and playing. | fun tools, music | Free | https://epicmusicquiz.com/"
Feedback AI,feedback-ai,https://feedbackbyai.com/,Text feedback and idea prompts for writers.,25/mo,Freemium,startup tools,False,0,2023-07-28,Feedback AI — Text feedback and idea prompts for writers. | startup tools | Freemium | https://feedbackbyai.com/
HelpScout,helpscout,https://www.supportagent.ai/,Automated customer support message drafting.,29/mo,Paid,customer support,False,0,2023-07-28,HelpScout — Automated customer support message drafting. | customer support | Paid | https://www.supportagent.ai/
Zaplingo,zaplingo,https://zaplingo.com/,English language learning through WhatsApp chatbot.,,Free,education assistant,False,0,2023-07-28,Zaplingo — English language learning through WhatsApp chatbot. | education assistant | Free | https://zaplingo.com/
CanceledGPT,canceledgpt,https://canceledgpt.com/,Detection and revision of offensive tweets.,,Free,social media assistant,False,1,2023-07-28,CanceledGPT — Detection and revision of offensive tweets. | social media assistant | Free | https://canceledgpt.com/
Draft Mate,draft-mate,https://draftmate.ai/,Improves text through writing assistance.,20/mo,Paid,general writing,False,0,2023-07-28,Draft Mate — Improves text through writing assistance. | general writing | Paid | https://draftmate.ai/
JayDee,jaydee,https://jaydeeai.com/,Helped recruiters craft better job ads.,25/mo,Freemium,human resources,False,0,2023-07-28,JayDee — Helped recruiters craft better job ads. | human resources | Freemium | https://jaydeeai.com/
Appypie,appypie,https://www.appypie.com/,Automated workflows and no-code apps.,8.47/mo,Paid,low-code/no-code,False,0,2023-07-28,Appypie — Automated workflows and no-code apps. | low-code/no-code | Paid | https://www.appypie.com/
Setlist Predictor,setlist-predictor,https://setlistpredictor.com/,Forecasts concert setlists for fans.,,Free,music,False,0,2023-07-28,Setlist Predictor — Forecasts concert setlists for fans. | music | Free | https://setlistpredictor.com/
Heartfly,heartfly,https://heartfly.app/,LGBTQ+ location-based dating.,6.99,Freemium,,False,0,2023-07-28,Heartfly — LGBTQ+ location-based dating. |  | Freemium | https://heartfly.app/
Windows Copilot,windows-copilot,https://blogs.windows.com/windowsdeveloper/2023/05/23/bringing-the-power-of-ai-to-windows-11-unlocking-a-new-era-of-productivity-for-customers-and-developers-with-windows-copilot-and-dev-home/,Bringing the power of AI to Windows 11 – unlocking a new era of productivity for customers and developers with Windows Copilot and Dev Home,,Free,productivity,False,0,2023-07-28,Windows Copilot — Bringing the power of AI to Windows 11 – unlocking a new era of productivity for customers and developers with Windows Copilot and Dev Home | productivity | Free | https://blogs.windows.com/windowsdeveloper/2023/05/23/bringing-the-power-of-ai-to-windows-11-unlocking-a-new-era-of-productivity-for-customers-and-developers-with-windows-copilot-and-dev-home/
Seance AI,seance-ai,https://www.seanceai.com/,Connect with passed loved ones via seance.,,Freemium,life assistant,False,0,2023-07-28,Seance AI — Connect with passed loved ones via seance. | life assistant | Freemium | https://www.seanceai.com/
AI Domain Genius,ai-domain-genius,https://aidomaingenius.com/,Discover and buy the perfect domain with the power of AI,,Free,startup tools,False,0,2023-07-28,AI Domain Genius — Discover and buy the perfect domain with the power of AI | startup tools | Free | https://aidomaingenius.com/
Write.homes,write-homes,https://write.homes/,The ultimate real estate content creation tool,,Free,"general writing, real estate",False,0,2023-07-28,"Write.homes — The ultimate real estate content creation tool | general writing, real estate | Free | https://write.homes/"
Distillr,distillr,https://distillr.app/,Leverage the power of ChatGPT to get concise article summaries.,4.99,Freemium,summarizer,False,0,2023-07-28,Distillr — Leverage the power of ChatGPT to get concise article summaries. | summarizer | Freemium | https://distillr.app/
PracticeTalking,practicetalking,https://www.practicetalking.net/,"Using AI, have fun or educational conversations or even practice important conversations before they actually happen.",,Free,life assistant,False,0,2023-07-28,"PracticeTalking — Using AI, have fun or educational conversations or even practice important conversations before they actually happen. | life assistant | Free | https://www.practicetalking.net/"
Talkback AI,talkback-ai,https://www.talkbackai.com/,"Efficient, tailored Google review replies for firms.",4/mo,Paid,customer support,False,0,2023-07-28,"Talkback AI — Efficient, tailored Google review replies for firms. | customer support | Paid | https://www.talkbackai.com/"
Goodnight Reader,goodnight-reader,https://goodnightreader.com/,Customized bedtime storytelling experience.,,Free,story teller,False,0,2023-07-28,Goodnight Reader — Customized bedtime storytelling experience. | story teller | Free | https://goodnightreader.com/
Logo mockup,logo-mockup,https://logo-mockup.com/,Premium 3D mockup generator for logos.,,Free,"design assistant, 3D",False,1,2023-07-28,"Logo mockup — Premium 3D mockup generator for logos. | design assistant, 3D | Free | https://logo-mockup.com/"
Krecicki,krecicki,https://krecicki.com/,Optimized sales call analysis to improve performance.,,Free,sales,False,0,2023-07-28,Krecicki — Optimized sales call analysis to improve performance. | sales | Free | https://krecicki.com/
Voyager,voyager,https://voyager.minedojo.org/, An Open-Ended Embodied Agent with Large Language Models,,Free,gaming,False,0,2023-07-28,Voyager —  An Open-Ended Embodied Agent with Large Language Models | gaming | Free | https://voyager.minedojo.org/
Auger,auger,https://www.getauger.com/,Auger identifies & removes outreach emails from your inbox with GPT.,,Free,email assistant,False,0,2023-07-28,Auger — Auger identifies & removes outreach emails from your inbox with GPT. | email assistant | Free | https://www.getauger.com/
Summarizethis,summarizethis,https://summarizethis.io/,"help you summarize text, pdf, youtube, tweets, and anything else you want for free",,Free,summarizer,False,0,2023-07-28,"Summarizethis — help you summarize text, pdf, youtube, tweets, and anything else you want for free | summarizer | Free | https://summarizethis.io/"
HelpHub,helphub,https://helphub.commandbar.com/,A GPT-Powered Chatbot For Any Site.,50/mo,Freemium,customer support,False,0,2023-07-28,HelpHub — A GPT-Powered Chatbot For Any Site. | customer support | Freemium | https://helphub.commandbar.com/
ClassPoint AI,classpoint-ai,https://ai.classpoint.io/,Generate Questions from PowerPoint Slides,,Free,presentations,False,0,2023-07-28,ClassPoint AI — Generate Questions from PowerPoint Slides | presentations | Free | https://ai.classpoint.io/
MeatGPT,meatgpt,https://meat-gpt.sonnet.io/,Prime answers to rare questions,,Free,research,False,0,2023-07-28,MeatGPT — Prime answers to rare questions | research | Free | https://meat-gpt.sonnet.io/
Saam,saam,https://drsaam.me/,Mental health journaling support.,,Free,healthcare,False,0,2023-07-28,Saam — Mental health journaling support. | healthcare | Free | https://drsaam.me/
Itraveledthere.io,itraveledthere-io,https://itraveledthere.io/,Non-travel travel images.,9.99,Paid,,False,0,2023-07-28,Itraveledthere.io — Non-travel travel images. |  | Paid | https://itraveledthere.io/
Mix Check Studio,mix-check-studio,https://mixcheck.studio/,Analyzed audio feedback for music mixing.,,Free,music,False,1,2023-07-28,Mix Check Studio — Analyzed audio feedback for music mixing. | music | Free | https://mixcheck.studio/
Chat2Stats,chat2stats,https://2stats.chat/,Generating insights from data analysis.,10/mo,Freemium,spreadsheets,False,0,2023-07-28,Chat2Stats — Generating insights from data analysis. | spreadsheets | Freemium | https://2stats.chat/
Chat2Build,chat2build,https://chat2build.com/,Created and designed websites efficiently.,9.99,Freemium,"design assistant, developer tools",False,0,2023-07-28,"Chat2Build — Created and designed websites efficiently. | design assistant, developer tools | Freemium | https://chat2build.com/"
SideChat,sidechat,https://www.sidechat.ai/,Quick-access Browser Extension for Answering Questions.,,Free,productivity,False,0,2023-07-28,SideChat — Quick-access Browser Extension for Answering Questions. | productivity | Free | https://www.sidechat.ai/
Dreamfrabic,dreamfrabic,https://photoshop.dreamfabric.ai/,Improved Photoshop image enhancement integration.,,Free,image editing,False,0,2023-07-28,Dreamfrabic — Improved Photoshop image enhancement integration. | image editing | Free | https://photoshop.dreamfabric.ai/
Logolept,logolept,https://logolept.com/,Book recommendation platform with title combinations.,0.99/mo,Paid,story teller,False,0,2023-07-28,Logolept — Book recommendation platform with title combinations. | story teller | Paid | https://logolept.com/
Tars Prime,tars-prime,https://admin.hellotars.com/ai,Customer service chatbots for websites.,,Contact for Pricing,customer support,False,0,2023-07-28,Tars Prime — Customer service chatbots for websites. | customer support | Contact for Pricing | https://admin.hellotars.com/ai
Msgmate,msgmate,https://msgmate.io/,Generated images for chat experience in messaging apps.,1,Freemium,developer tools,False,0,2023-07-28,Msgmate — Generated images for chat experience in messaging apps. | developer tools | Freemium | https://msgmate.io/
Mindsera,mindsera,https://www.mindsera.com/,Customized mental health journaling for coaching.,14.99/mo,Freemium,productivity,False,1,2023-07-28,Mindsera — Customized mental health journaling for coaching. | productivity | Freemium | https://www.mindsera.com/
RealFeedback,realfeedback,https://realfeedback.co/,Chatbot for website feedback.,9/mo,Freemium,customer support,False,0,2023-07-28,RealFeedback — Chatbot for website feedback. | customer support | Freemium | https://realfeedback.co/
Quazilla,quazilla,https://www.joinsquad.co/quazilla,Improving personal growth and goal tracking.,8.99,Freemium,productivity,False,0,2023-07-28,Quazilla — Improving personal growth and goal tracking. | productivity | Freemium | https://www.joinsquad.co/quazilla
Swoon Chat,swoon-chat,https://www.swoon.chat/,Improved online dating chat through analysis.,,Free,,False,0,2023-07-28,Swoon Chat — Improved online dating chat through analysis. |  | Free | https://www.swoon.chat/
GPT Commands,gpt-commands,https://gpt-commands.com/,GPT Commands is an innovative Chrome extension that harnesses the power of GPT-4 to enhance online experiences and streamline various tasks.,39,Paid,general writing,False,0,2023-07-28,GPT Commands — GPT Commands is an innovative Chrome extension that harnesses the power of GPT-4 to enhance online experiences and streamline various tasks. | general writing | Paid | https://gpt-commands.com/
Typeslashai,typeslashai,https://typeslashai.com/,Online text assistant.,29,Paid,general writing,False,0,2023-07-28,Typeslashai — Online text assistant. | general writing | Paid | https://typeslashai.com/
Chandu,chandu,https://www.messengerx.io/chandu,"Recommends content for cricket, movies & OTT platforms.",,Free,resources,False,0,2023-07-28,"Chandu — Recommends content for cricket, movies & OTT platforms. | resources | Free | https://www.messengerx.io/chandu"
