Name,Slug,Homepage,Short Description,Price Text,Pricing,Categories,Verified,Favorite Count,Updated At
Prompt Storm,prompt-storm,https://promptstorm.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Improved ChatGPT with managed prompts.,,Free,prompts,False,0,2023-07-28
MediSearch,medisearch,https://medisearch.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Analyzed healthcare Q&A with NLP.,,Free,healthcare,False,0,2023-07-28
Transcribethis.io,transcribethis-io,https://transcribethis.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Highly accurate audio-to-text transcription solution.,299/mo,Paid,transcriber,False,0,2023-07-28
CrestGPT,crestgpt,https://www.crestgpt.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Easy social media content creation.,4/mo,Paid,social media assistant,False,0,2023-07-28
Constitute,constitute,https://www.constitute.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Rapid programming help using chatbot.,,Free,"search engine, code assistant",False,0,2023-07-28
Review Rocket,review-rocket,https://www.uselumin.co/review-rocket?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Summarizes reviews for apps/companies.,19/mo,Freemium,summarizer,False,0,2023-07-28
Medical Chat,medical-chat,https://medical.chat-data.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Medical chatbot for professionals and patients.,,Free,healthcare,False,0,2023-07-28
Banterai,banterai,https://www.banterai.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Voice chat with celeb avatars for advice or casual chat.,5/mo,Freemium,fun tools,False,0,2023-07-28
SpeakFit.club,speakfit-club,https://www.speakfit.club/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Enhancing multilingual speaking abilities.,7.99/mo,Freemium,education assistant,False,1,2023-07-28
Ikiblast,ikiblast,https://www.ikiblast.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated content for writing.,20/mo,Freemium,startup tools,False,0,2023-07-28
Morphlin,morphlin,https://www.morphlin.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Morphlin offers a range of AI-based trading tools that cater to different market conditions and trading strategies. ,,Freemium,finance,False,0,2023-07-28
AI Drake,ai-drake,https://www.voicify.ai/drake?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Create AI covers songs as seen on TikTok, YouTube and many other platforms!",8.99/mo,Free Trial,music,False,0,2023-07-28
PillowTalks,pillowtalks,https://www.pillowtalks.chat/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Chatbot for a charming chat,,Free,,False,0,2023-07-28
RevFit AI,revfit-ai,https://patri.io/revfit-ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Sales forecasting and qualification platform.,29/mo,Paid,sales,False,0,2023-07-28
Katch,katch,https://gokatch.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated scheduling of meetings and calls for users.,,Free,productivity,False,1,2023-07-28
LinklessGPT,linklessgpt,https://linklessgpt.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Summarized links with no clicking needed.,3.99,Paid,summarizer,False,0,2023-07-28
Adaptify Listicle Writer,adaptify-listicle-writer,https://adaptify.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"An AI-driven listicle writer for enhanced SEO. It adjusts to Google updates, boosts rankings, and crafts unique, data-rich content from sources like Yelp and Amazon.",49/mo,Paid,SEO,False,0,2023-07-28
MakeForms.io,makeforms-io,https://makeforms.io/ai-form-builder/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Transform the way you create forms with MakeForms' AI-powered solution.,29/mo,Freemium,design assistant,False,0,2023-07-28
FlirtAI App,flirtai-app,https://flirtai.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Your AI-Powered Dating Chat Assistant! Let AI Write Perfect Responses.,1,Free Trial,,False,0,2023-07-28
QuickWit,quickwit,https://www.quickwit.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,QuickWit empowers users with the tools and intelligence to have more productive and impactful conversations.,,Free,fun tools,False,0,2023-07-28
E-Legal AI,e-legal-ai,https://www.e-legal.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Translates legal jargon to plain English.,5,Paid,legal assistant,False,0,2023-07-28
Gpitify,gpitify,https://gptify.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Create chatbots, no coding, from multiple sources.",9.99/mo,Freemium,customer support,False,0,2023-07-28
The New Black,the-new-black,https://thenewblack.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Experimented with variations for fashion design.,15,Freemium,fashion,False,0,2023-07-28
Confbrew,confbrew,https://confbrew.motif.land/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Collaboration platform for content-based Q&A.,,Free,"education assistant, research",False,0,2023-07-28
MyNeo AI,myneo-ai,https://myneoai.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Personalized chat & smart keyboard for mobile assist.,17.99/mo,Freemium,life assistant,False,0,2023-07-28
PharmaTrace,pharmatrace,https://www.pharmatrace.io/chronic-diseases-ai?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Predicts & manages chronic diseases for healthcare.,,Contact for Pricing,healthcare,False,0,2023-07-28
PromptBot,promptbot,https://www.messengerx.io/promptbot?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated chatbot prompts.,0.99,Freemium,prompts,False,0,2023-07-28
JIT.codes,jit-codes,https://jit.codes/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Converts text to code in many languages.,,Free,code assistant,False,0,2023-07-28
Pod,pod,https://www.workwithpod.com/ai-copilot?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,B2B sales management and pipeline assistance.,,Free Trial,sales,False,0,2023-07-28
Video2text,video2text,https://www.video2text.de/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Transcribes videos into text.,,Free,transcriber,False,0,2023-07-28
GPT Mate,gpt-mate,https://refiredesign.com/gptmate/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated and edited text for Figma and FigJam design.,,Free,"copywriting, design assistant",False,1,2023-07-28
SpeakAide,speakaide,https://speakaide.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Improves speaking w/ prompts, perfect script.",21.99,Freemium,social media assistant,False,0,2023-07-28
Coco,coco,https://appcafe.com/coco-a-free-chatgpt-based-virtual-assistant/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Simplified ChatGPT usage with virtual assistant.,,Free,life assistant,False,0,2023-07-28
Ai Intern,ai-intern,https://aiintern.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Improves content gen and workflow in Slack.,12,Freemium,productivity,False,0,2023-07-28
Open Assistant,open-assistant,https://open-assistant.io/auth/signin?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Chatbot that answers queries.,,Free,productivity,False,0,2023-07-28
WELLNESS.XYZ,wellness-xyz,https://wellnessxyz.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Tailored care for long COVID sufferers.,,Free,healthcare,False,0,2023-07-28
Jarvis AI,jarvis-ai,https://jarvis.tel/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,FAQ chatbot for text messaging support.,5/mo,Freemium,search engine,False,0,2023-07-28
WrpUp,wrpup,https://wrpup.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Condense lengthy videos into concise highlights.,,Free,video editing,False,0,2023-07-28
ChatGPT in Google Sheets,chatgpt-in-google-sheets,https://www.gox.ai/tmr/chatgpt-reporting-tool?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated analysis and insights from Google Sheets data.,,Free,spreadsheets,False,0,2023-07-28
AI Meme,ai-meme,https://ai-meme.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Meme creation made easy.,,Free,fun tools,False,0,2023-07-28
Food for Blood Pressure,food-for-blood-pressure,https://foodforbp.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Web meal planner for managing high blood pressure.,,Free,healthcare,False,0,2023-07-28
SpinReactor,spinreactor,https://spinreactor.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Summarized unbiased news from multiple sources.,,Free,summarizer,False,0,2023-07-28
MealPractice,mealpractice,https://mealpractice.com/generate?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated recipes for personalized meal planning.,,Free,,False,0,2023-07-28
Librarian AI,librarian-ai,https://www.librarian-ai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Custom book suggestions based on past readings.,,Free,education assistant,False,1,2023-07-28
Comment Generator,comment-generator,https://www.comment-generator.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generate customized Instagram comments.,4.99/mo,Free Trial,social media assistant,False,0,2023-07-28
UniGlobal CV and Cover Letter Generator,uniglobal-cv-and-cover-letter-generator,https://uniglobalcareers.com/cv-generator/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Craft a compelling CV and Cover Letter using UniGlobal,,Freemium,design assistant,False,0,2023-07-28
NameWizard,namewizard,https://namewizardai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Instantly generate memorable domain names using AI and ensure availability for purchase.,19,Paid,startup tools,False,0,2023-07-28
AI Kanye West,auto-ye-ai,https://autoyeai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,AI-powered lyric generator for creating lyrics inspired by Kanye West songs.,,Free,music,False,0,2023-07-28
Chad GPT,chad-gpt,https://play.google.com/store/apps/details?id=com.viveks_7764.ChadGPT&hl=en&gl=US&utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Chad GPT is the Giga Chad AI!,,Free,fun tools,False,0,2023-07-28
Open AI ChatGPT,open-ai-chatgpt,https://apps.apple.com/us/app/openai-chatgpt/id6448311069?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,OpenAI’s latest advancements at your fingertips.,19.99,Freemium,productivity,False,0,2023-07-28
SaasyDB,saasydb,https://www.saasydb.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Get fresh data on recently funded and SaaS companies with our weekly subscription, including email addresses and other employee information.",99/mo,Paid,"sales, research",False,0,2023-07-28
Advanced Framework for writing Blogs,advanced-framework-for-writing-blogs,https://promptit.gumroad.com/l/mhgsw?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,step-by-step journey of how to craft a unique and insightful blog with the help of ChatGPT,10,Paid,education assistant,False,0,2023-07-28
Grocer AI,grocer-ai,https://www.grocerai.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generates shopping lists for convenience.,,Free,life assistant,False,0,2023-07-28
Background Remover AI,background-remover-ai,https://backgroundremoverai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Removed backgrounds with online image editing.,15/mo,Paid,image editing,False,0,2023-07-28
Transformify Automate,transformify-automate,https://www.transformify.ai/automate?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated task integration with custom flexibility.,,Contact for Pricing,developer tools,False,0,2023-07-28
Zenn,zenn,https://zennai.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Streamlined email organization and drafting.,7.95/mo,Freemium,email assistant,False,0,2023-07-28
Browse GPT,browse-gpt,https://www.browsegpt.one/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Convenient Q&A resource for webpages.,13,Free Trial,search engine,False,0,2023-07-28
GPT Stylist,gpt-stylist,https://refiredesign.com/gptstylist/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Suggests color and design for creators.,,Free,design assistant,False,0,2023-07-28
GreatFit,greatfit,https://www.greatfit.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Screening developers' culture fit and soft skills.,,Free,human resources,False,0,2023-07-28
Quilgo,quilgo,https://quilgo.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Online quizzes creation with proctoring.,10/mo,Free Trial,education assistant,False,0,2023-07-28
Gengis Khan,gengis-khan,https://www.messengerx.io/ghengis-khan?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Historical Q&A with Ghengis Khan via chat.,,Free,fun tools,False,0,2023-07-28
DailyBot AI,dailybot-ai,https://www.dailybot.com/product/ai?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Boost your team's productivity and communication with DailyBot, the leading chatbot for remote work and agile teams.",2.5,Freemium,productivity,False,0,2024-01-12
AI Matchmaker,dates-ai,https://dates.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Matchmaker for compatible dates by interests.,,Free,,False,0,2023-07-28
Bellow,bellow,https://bellow.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Machine intelligence search engine.,,Free,search engine,False,0,2023-07-28
One Panel,one-panel,https://onepanel.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,One-panel manga reader for spoiler-free reading.,,Free,story teller,False,0,2023-07-28
OpenLead,openlead,https://www.openlead.xyz/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated custom lead lists with machine learning.,149/mo,Paid,sales,False,0,2023-07-28
Bricabrac,bricabrac,https://bricabrac.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Create web apps without coding from text descriptions.,68/mo,Free Trial,low-code/no-code,False,0,2023-07-28
Reprompt,reprompt,https://reprompt.dev/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Efficient AI prompt testing and optimization tool for developers,0.0045,Paid,prompts,False,0,2023-07-28
Decision Mentor,decision-mentor,https://decisionmentor.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,AI-powered Multi-Criteria Decision Making app for simplified decision-making in public and private settings,,Free,life assistant,False,0,2023-07-28
Hacker News Recap,hacker-news-recap,https://hackernewsrecap.buzzsprout.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,AI-powered daily podcast summarizing top posts on Hacker News,,Free,summarizer,False,0,2023-07-28
Scribbler,scribbler,https://scribbler.so/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Podcast insights summarized and delivered instantly.,,Free,"summarizer, education assistant",False,0,2023-07-28
Vidio,vidio,https://www.vidio.ai/tools/ai-video-editor?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated guidance for online video editing.,9.99/mo,Freemium,video editing,False,0,2023-07-28
Yujo,yujo,http://yujo.io.tilda.ws/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Mobile app for socializing and organizing events.,4/mo,Freemium,life assistant,False,0,2023-07-28
Profile Crafter,profile-crafter,https://profilecrafter.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated social media profiles.,25,Paid,image generator,False,0,2023-07-28
HealthGPT,healthgpt,https://healthgpt.plus/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Personalized healthcare & advice platform.,,Free,healthcare,False,0,2023-07-28
LlamaChat,llamachat,https://llamachat.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"It allows you to chat with LLaMA, Alpaca, and GPT4All models locally on your Mac. It supports importing raw PyTorch model.",,Free,code assistant,False,0,2025-04-25
ChitChat,chitchat,https://gochitchat.ai/chatgpt-ios?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Chatbot for simple communication.,9.99,Freemium,productivity,False,0,2023-07-28
Evercopy,evercopy,https://www.evercopy.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated platform for marketing content creation.,,Free,copywriting,False,0,2023-07-28
Laika,laika,https://prompt.getlaika.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Customized chat prompts for communication.,19/mo,Freemium,prompts,False,0,2023-07-28
Gutenberg Hub,gutenberg-hub,https://shop.gutenberghub.com/ai-writer/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Assist with WordPress content optimization.,69,Paid,general writing,False,0,2023-07-28
Booknotes,booknotes,https://getbooknotes.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Speeds up book learning through summaries.,9.99,Freemium,summarizer,False,0,2023-07-28
Scribee,scribee,https://scribee.xyz/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com, AI-powered copywriting tool with customizable templates for high-quality content creation,7.99/mo,Freemium,copywriting,False,0,2023-07-28
ShopMate,shopmate,https://shopmateai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Customizable shopping suggestions for e-commerce.,,Free,e-commerce,False,0,2023-07-28
Gnorman,gnorman,https://www.gnorman.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Green gardening tips and techniques for experts.,,Free,"life assistant, fun tools",False,0,2023-07-28
Picapiu,picapiu,https://www.vistud.io/picapiu?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Creates avatars/profiles from user images.,,Free,avatars,False,1,2023-07-28
Roboweb,roboweb,https://roboweb.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Assisted programming in JupyterLab.,,Free,experiments,False,0,2023-07-28
DeepFaceLab,deepfacelab,https://github.com/iperov/DeepFaceLab?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,The leading software for creating high-quality deepfake videos with an easy-to-use interface.,,Free,"image generator, video generator",False,1,2023-07-28
Facia.ai,facia-ai,https://www.facia.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Facia AI offers top-tier liveness detection for secure, seamless user authentication",,Contact for Pricing,customer support,False,0,2023-07-28
Tomsplanner,tomsplanner,https://www.tomsplanner.com/ai-assist?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"Our AI Assist generates impressively complete Gantt charts based on a short project description. And using the same AI Assist, you can further expand and tweak the Gantt chart to your liking.",9.95/mo,Freemium,"human resources, spreadsheets",False,0,2023-07-28
EzeGym,ezegym,https://ezegym.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,"EzeGym: A cloud-based, customizable software solution for comprehensive gym management",99/mo,Free Trial,,False,0,2023-07-28
Taskabai,taskabai,https://taskabai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Streamlined task management with personalized virtual assistants,,Free,productivity,False,0,2023-07-28
Cognosys,cognosys,https://www.cognosys.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,The Future of AI-Driven Applications at Your Fingertips.,,Free,productivity,False,0,2023-07-28
AIStudio,aistudio,https://aistud.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,A User-Friendly Platform to Build and Deploy Complex Intelligent Systems Without Coding.,10/mo,Freemium,low-code/no-code,False,0,2023-07-28
Mynd,mynd,https://www.mynd.so/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Self-care app detects patterns & insights in journaling.,,Free,life assistant,False,0,2023-07-28
Her,her,http://inlovewith.com/apps/her/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Mental wellness companion.,4.99,Freemium,,False,0,2023-07-28
AI TALK,ai-talk,https://ai-talk.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com, Create and Share Your AI Conversations - Simplified AI Talks for Everyone.,,Free,experiments,False,0,2023-07-28
TicketGenius,ticketgenius,https://marketplace.atlassian.com/apps/1230267?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Simplified Jira ticket creation solution.,11.63/mo,Free Trial,"productivity, story teller",False,0,2023-07-28
AICardshop,aicardshop,https://www.aicardshop.com/debaigreetingcards.html?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Online platform for unique and personalized AI-generated art gifts for special occasions,,Free,gift ideas,False,0,2023-07-28
Kitt,kitt,https://livekit.io/kitt?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com," Engage in live interactions with ChatGPT using KITT, a versatile AI communication tool",,Free Trial,developer tools,False,0,2023-07-28
PlaylistName AI,playlistname-ai,https://www.playlistnameai.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Design engaging music playlist names with the mood-specific PlaylistName AI generator,,Free,music,False,0,2023-07-28
SQL Ease,sql-ease,https://sqlease.buildnship.in/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generate SQL queries effortlessly with natural language input using SQL-Ease,,Free,SQL,False,0,2023-07-28
Lejrr,lejrr,https://lejrr.earlybird.rocks/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Discover hidden travel gems with AI-powered personal recommendations from Lejrr,2,Paid,,False,0,2023-07-28
Pump,pump,https://www.pump.co/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Optimized AWS cloud cost.,,Contact for Pricing,startup tools,False,0,2023-07-28
ClipGPT,clipgpt,https://clipgpt.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,ClipGPT summarizes and organizes your notes and bookmarks using OpenAI's GPT API,3.95/mo,Paid,summarizer,False,0,2023-07-28
Exo,exo,https://www.getexo.dev/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Optimized code for efficient programming.,33/mo,Freemium,code assistant,False,0,2023-07-28
Findsight AI,findsight-ai,https://findsight.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Compare non-fiction ideas from multiple sources.,,Free,"summarizer, research",False,0,2023-07-28
FictionGPT,fictiongpt,https://fictiongpt.xyz/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Assisted creation of fictional stories for writers.,5,Paid,story teller,False,0,2023-07-28
Liveform,liveform,https://www.liveform.ai/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Customizable intelligent agents created and deployed.,,Free,"human resources, sales",False,0,2023-07-28
Escape,escape,https://escape.tech/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Evaluates security of ChatGPT Plugins.,,Free,developer tools,False,1,2023-07-28
GPTService,gptservice,https://gptservice.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated chatbot for website customer service.,29.99/mo,Free Trial,customer support,False,0,2023-07-28
Hentai Generator,hentai-generator,https://hentaigenerator.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generate hentai images,,Free,image generator,False,0,2023-07-28
Trivai,trivai,https://trivai.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generates endless topic questions,,Free,"education assistant, fun tools",False,0,2023-07-28
Ajelix,ajelix,https://ajelix.com?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Provides VBA script and formula generator & explainer.,5.95,Freemium,spreadsheets,False,0,2023-07-28
TotemoTech,totemotech,https://totemotech.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Summarized Japanese tech news in English.,,Free,"summarizer, education assistant",False,0,2023-07-28
Flash Insights,flash-insights,https://getflashinsights.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Web & video insights for efficient learning.,,Free,"summarizer, education assistant",False,0,2023-07-28
SupportBuddy,supportbuddy,https://supportbuddy.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Personalized chatbot for real-time website support.,9/mo,Paid,customer support,False,0,2023-07-28
StudentMate,studentmate,https://studentmate.shuchir.dev/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Automated assistant for managing student homework.,,Free,education assistant,False,0,2023-07-28
RepoAI,repoai,https://repo-ai.com/repo?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Scanned GitHub for code errors and improvements,,Free,"search engine, code assistant",False,0,2023-07-28
CensysGPT,censysgpt,https://gpt.censys.io/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com, Query-building tool for effective Censys searches and obtaining insights about internet hosts,,Free,code assistant,False,0,2023-07-28
Kupiks,kupiks,https://www.kupiks.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Efficient data entry through parsed emails.,,Free,"customer support, spreadsheets",False,0,2023-07-28
Staiyl,staiyl,https://staiyl.com/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Customized fashion design with technology.,,Free,fashion,False,1,2023-07-28
Be My Chef,be-my-chef,https://bemychef.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,Generated recipes for personalized meal planning.,,Free,resources,False,0,2023-07-28
LinkedIn Post Generator,linkedin-post-generator,https://www.postgenerator.app/?utm_source=aitoolhouse.com&utm_medium=marketplace&utm_campaign=aitoolhouse.com,AI-powered tool to improve LinkedIn post performance by analyzing the LinkedIn algorithm and providing AI recommendations.,,Free,social media assistant,False,0,2023-07-28
